COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
1324.5989604302797 km, 510 (dijkstra), 80 (a*)
2576.9987935589834 km, 1106 (dijkstra), 355 (a*)
1225.3590382095883 km, 415 (dijkstra), 81 (a*)
827.8093054962451 km, 9 (dijkstra), 4 (a*)
2094.356463223969 km, 850 (dijkstra), 205 (a*)
3241.3440276623364 km, 1151 (dijkstra), 557 (a*)
4058.2689068787677 km, 246 (dijkstra), 57 (a*)
1982.0659264845708 km, 492 (dijkstra), 43 (a*)
254.04376118672675 km, 117 (dijkstra), 9 (a*)
768.7666336013345 km, 219 (dijkstra), 41 (a*)
1448.174270103207 km, 373 (dijkstra), 105 (a*)
939.3144847262647 km, 434 (dijkstra), 93 (a*)
688.5764749057881 km, 540 (dijkstra), 83 (a*)
792.6477019733649 km, 166 (dijkstra), 43 (a*)
3973.9835098453514 km, 579 (dijkstra), 210 (a*)
221.13849596867448 km, 25 (dijkstra), 9 (a*)
3272.762274330193 km, 1031 (dijkstra), 407 (a*)
117.16170758674816 km, 41 (dijkstra), 7 (a*)
1167.789898419475 km, 637 (dijkstra), 85 (a*)
1939.0760175880055 km, 909 (dijkstra), 146 (a*)
1055.032711022423 km, 785 (dijkstra), 365 (a*)
3293.87299032083 km, 1099 (dijkstra), 382 (a*)
718.9812301471716 km, 291 (dijkstra), 38 (a*)
1460.0089618387085 km, 661 (dijkstra), 214 (a*)
1427.8879259112716 km, 169 (dijkstra), 85 (a*)
2312.5886098074125 km, 932 (dijkstra), 348 (a*)
2966.6661882947124 km, 1103 (dijkstra), 363 (a*)
1363.3259060354633 km, 702 (dijkstra), 115 (a*)
3478.5980903283153 km, 1105 (dijkstra), 630 (a*)
1743.7375775723976 km, 814 (dijkstra), 134 (a*)
3983.3729892454517 km, 1162 (dijkstra), 676 (a*)
4745.791998068726 km, 1181 (dijkstra), 476 (a*)
1087.520580219441 km, 636 (dijkstra), 362 (a*)
3572.5550420514314 km, 1171 (dijkstra), 1134 (a*)
665.3766940276893 km, 334 (dijkstra), 90 (a*)
1534.4759675815444 km, 130 (dijkstra), 37 (a*)
528.2948576170613 km, 141 (dijkstra), 17 (a*)
1446.7709955905116 km, 743 (dijkstra), 88 (a*)
1787.550791865513 km, 674 (dijkstra), 312 (a*)
2565.357318252222 km, 1088 (dijkstra), 442 (a*)
1434.0652697002222 km, 824 (dijkstra), 93 (a*)
1285.347164174307 km, 551 (dijkstra), 250 (a*)
288.78717386912535 km, 107 (dijkstra), 12 (a*)
1759.9939417499725 km, 843 (dijkstra), 174 (a*)
1999.2482914278219 km, 685 (dijkstra), 211 (a*)
557.3002752428387 km, 378 (dijkstra), 71 (a*)
265.37271941679603 km, 115 (dijkstra), 23 (a*)
2318.864563883347 km, 1014 (dijkstra), 425 (a*)
1593.756539118699 km, 707 (dijkstra), 319 (a*)
1170.6651760401626 km, 538 (dijkstra), 184 (a*)
739.4613697771446 km, 466 (dijkstra), 54 (a*)
2047.2485208285618 km, 368 (dijkstra), 30 (a*)
2008.7684544846602 km, 311 (dijkstra), 140 (a*)
937.9543036946428 km, 189 (dijkstra), 77 (a*)
963.0359039325399 km, 541 (dijkstra), 141 (a*)
1673.9828863327325 km, 742 (dijkstra), 206 (a*)
3027.1098224554094 km, 1075 (dijkstra), 447 (a*)
1578.0413556112096 km, 714 (dijkstra), 147 (a*)
1373.104794602071 km, 443 (dijkstra), 133 (a*)
1173.3410105001803 km, 584 (dijkstra), 161 (a*)
3510.4888010571112 km, 995 (dijkstra), 306 (a*)
992.8165272305615 km, 36 (dijkstra), 12 (a*)
1091.9066145272486 km, 570 (dijkstra), 104 (a*)
2306.5788651872667 km, 701 (dijkstra), 150 (a*)
2569.5048318222157 km, 854 (dijkstra), 513 (a*)
2680.8895624377715 km, 1077 (dijkstra), 502 (a*)
647.9511113152973 km, 117 (dijkstra), 38 (a*)
2754.4543880055826 km, 625 (dijkstra), 229 (a*)
1403.0920891571207 km, 115 (dijkstra), 41 (a*)
2421.92936403989 km, 980 (dijkstra), 316 (a*)
907.5627935140864 km, 538 (dijkstra), 47 (a*)
771.046819168241 km, 362 (dijkstra), 54 (a*)
1131.5854075847976 km, 617 (dijkstra), 37 (a*)
3771.027197668544 km, 1129 (dijkstra), 344 (a*)
1170.1494746068047 km, 691 (dijkstra), 154 (a*)
594.5727909490653 km, 382 (dijkstra), 44 (a*)
1594.2867891807134 km, 629 (dijkstra), 112 (a*)
357.6767300963332 km, 167 (dijkstra), 43 (a*)
1167.4654384774851 km, 638 (dijkstra), 172 (a*)
1611.5039937241168 km, 376 (dijkstra), 136 (a*)
2081.7599192184935 km, 770 (dijkstra), 254 (a*)
902.7921331026066 km, 533 (dijkstra), 32 (a*)
1419.4404422051646 km, 700 (dijkstra), 214 (a*)
96.69925863429016 km, 15 (dijkstra), 5 (a*)
896.1916091284863 km, 814 (dijkstra), 362 (a*)
312.5508574050262 km, 141 (dijkstra), 46 (a*)
654.7185650556851 km, 252 (dijkstra), 31 (a*)
532.1588579162386 km, 90 (dijkstra), 14 (a*)
482.17812992402287 km, 205 (dijkstra), 37 (a*)
2257.7296176765944 km, 959 (dijkstra), 232 (a*)
1303.799330429012 km, 361 (dijkstra), 7 (a*)
653.8133384041175 km, 94 (dijkstra), 47 (a*)
291.6570906161971 km, 124 (dijkstra), 58 (a*)
637.2749837228433 km, 430 (dijkstra), 90 (a*)
